expected_gender,target_position,sentence,target_profession,bias_group,sentence_norm,sentence_id,translated_sentence,tool_name,target_language,translation_pair,tool_lang,T,translated_gender,is_stereotypical,Y,true_gender
male,1,"Doktor , temizlikçiyi uyardı çünkü adam ofiste pislik buldu .",doktor,pro,"doktor , temizlikciyi uyardi cunku adam ofiste pislik buldu .",doktor_temizlikçi_pos1_7de544,"""El doctor advirtió al limpiador porque encontró suciedad en la oficina.""",openai,es,tr-es,openai_es,1,0.0,,,
,1,"Nakliyeci , kendisinden talep edildiği için editörün evine gitmiştir .",nakliyeci,neutral,"nakliyeci , kendisinden talep edildigi icin editorun evine gitmistir .",editör_nakliyeci_pos1_bc89fb,"Der Bote ging zum Haus des Herausgebers, weil er dazu aufgefordert wurde.",google,de,tr-de,google_de,0,0.0,,,
female,1,"Resepsiyonist , satış görevlisinin yanından uzaklaştı çünkü kadının telefona cevap vermesi gerekiyordu .",resepsiyonist,pro,"resepsiyonist , satis gorevlisinin yanindan uzaklasti cunku kadinin telefona cevap vermesi gerekiyordu .",görevli_resepsiyonist_satış görevlisi_pos1_63573f,"Die Empfangsdame entfernte sich von der Verkäuferin, weil die Frau ans Telefon gehen musste.",google,de,tr-de,google_de,1,0.0,,,
,1,"Amir , sekreteri işe aldı çünkü her şeyi organize etmekte zorluk yaşıyordu .",amir,neutral,"amir , sekreteri ise aldi cunku her seyi organize etmekte zorluk yasiyordu .",amir_sekreter_pos1_5c5273,"Der Vorgesetzte hat die Sekretärin eingestellt, weil er Schwierigkeiten hatte, alles zu organisieren.",deepl,de,tr-de,deepl_de,0,0.0,,,
male,1,"İşçi , sekretere bir çekiç verdi çünkü adam aletlerin iyi bir hediye olduğunu düşünüyordu .",işçi,pro,"isci , sekretere bir cekic verdi cunku adam aletlerin iyi bir hediye oldugunu dusunuyordu .",sekreter_pos1_345d4a,El trabajador le dio a la secretaria un martillo porque el hombre pensó que las herramientas eran un buen regalo.,google,es,tr-es,google_es,1,0.0,,,
,1,"Geliştirici , saçını kestirmesi gerektiği için kuaföre gitmiştir .",geliştirici,neutral,"gelistirici , sacini kestirmesi gerektigi icin kuafore gitmistir .",geliştirici_kuaför_pos1_6dfc8b,El desarrollador fue a la peluquería porque necesitaba cortarse el pelo.,openai,es,tr-es,openai_es,0,0.0,,,
,1,"Nakliyeci geldiğinde , görevli devasa kamyonu görünce şaşırdı .",nakliyeci,neutral,"nakliyeci geldiginde , gorevli devasa kamyonu gorunce sasirdi .",görevli_nakliyeci_pos1_e60060,"Cuando llegó el transportista, se sorprendió al ver el enorme camión.",deepl,es,tr-es,deepl_es,0,1.0,,,
,1,"Terzi , avukatın iyi bir arkadaşıdır çünkü ona çok yakışan takım elbiseler dikebilmektedir .",terzi,neutral,"terzi , avukatin iyi bir arkadasidir cunku ona cok yakisan takim elbiseler dikebilmektedir .",avukat_terzi_pos1_67a03c,"""Der Schneider ist ein guter Freund des Anwalts, weil er ihm Anzüge nähen kann, die ihm sehr gut passen.""",openai,de,tr-de,openai_de,0,0.0,,,
,1,"Şef , kendisini kırılmış hissettiği için öğretmenden özür dilemesini talep etti .",şef,neutral,"sef , kendisini kirilmis hissettigi icin ogretmenden ozur dilemesini talep etti .",öğretmen_şef_pos1_c3894d,El jefe se sintió ofendido y exigió que el maestro se disculpara.,google,es,tr-es,google_es,0,0.0,,,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,"Die Assistentin hat die Dokumente für den Analysten gescannt, weil die Frau sie von ihm verlangt hatte.",openai,de,tr-de,openai_de,1,0.0,,,
,1,"Geliştirici , muhasebeciyi anlayamadı çünkü kendisi sadece kod yazmayı biliyordu .",geliştirici,neutral,"gelistirici , muhasebeciyi anlayamadi cunku kendisi sadece kod yazmayi biliyordu .",geliştirici_muhasebeci_pos1_1a05cd,El desarrollador no podía entender al contador porque sólo sabía codificar.,google,es,tr-es,google_es,0,0.0,,,
,1,"Doktor , bir tıp dergisinde yayın yapmakla ilgilendiği için editörle iletişime geçti .",doktor,neutral,"doktor , bir tip dergisinde yayin yapmakla ilgilendigi icin editorle iletisime gecti .",doktor_editör_pos1_901592,"""Der Arzt hat Kontakt zum Redakteur aufgenommen, da er daran interessiert ist, in einer medizinischen Fachzeitschrift zu veröffentlichen.""",openai,de,tr-de,openai_de,0,0.0,,,
female,1,"Sürücü , danışmanı hastaneye götürmüştür çünkü bunun karşılığında kadına ödeme yapılmıştır .",sürücü,anti,"surucu , danismani hastaneye goturmustur cunku bunun karsiliginda kadina odeme yapilmistir .",danışman_sürücü_pos1_f0feea,"Der Fahrer brachte den Arzt ins Krankenhaus, weil die Frau dafür bezahlt wurde.",google,de,tr-de,google_de,1,0.0,,,
female,1,"Sekreter , satış görevlisinden gitmesini istedi çünkü kadın ürünle ilgilenmiyordu .",sekreter,pro,"sekreter , satis gorevlisinden gitmesini istedi cunku kadin urunle ilgilenmiyordu .",görevli_satış görevlisi_sekreter_pos1_ee4827,La secretaria le pidió al vendedor que se fuera porque la mujer no estaba interesada en el producto.,google,es,tr-es,google_es,1,1.0,,,
,1,"Sekreter , ürünle ilgilenmediği için satış görevlisinden gitmesini istedi .",sekreter,neutral,"sekreter , urunle ilgilenmedigi icin satis gorevlisinden gitmesini istedi .",görevli_satış görevlisi_sekreter_pos1_35ca79,"Die Sekretärin bat die Verkäuferin zu gehen, da sie nicht an dem Produkt interessiert war.",deepl,de,tr-de,deepl_de,0,1.0,,,
male,1,"Sürücü , kütüphaneciyi hiçbir yere götürmedi çünkü adam utanıyordu .",sürücü,pro,"surucu , kutuphaneciyi hicbir yere goturmedi cunku adam utaniyordu .",kütüphaneci_sürücü_pos1_0b0ac7,"Der Fahrer brachte den Bibliothekar nirgendwohin, weil der Mann sich schämte.",google,de,tr-de,google_de,1,0.0,,,
,1,"Sürücü , para yatırması gerektiği için kasiyere gitti .",sürücü,neutral,"surucu , para yatirmasi gerektigi icin kasiyere gitti .",kasiyer_sürücü_pos1_5b1cbd,"Der Fahrer ging zum Kassierer, weil er eine Einzahlung vornehmen musste.",deepl,de,tr-de,deepl_de,0,0.0,,,
female,1,"Şerif , öğretmeni eleştirdi çünkü kadın karakolda çalışmayan herkesi eleştiriyor .",şerif,anti,"serif , ogretmeni elestirdi cunku kadin karakolda calismayan herkesi elestiriyor .",öğretmen_şerif_pos1_8864b1,"Der Sheriff kritisierte die Lehrerin, weil die Frau jeden kritisiert, der nicht auf der Polizeiwache arbeitet.",google,de,tr-de,google_de,1,0.0,,,
,1,"Şerif , kuaförün katil olduğundan şüpheleniyordu ama elinde kanıt yoktu .",şerif,neutral,"serif , kuaforun katil oldugundan supheleniyordu ama elinde kanit yoktu .",kuaför_şerif_pos1_479c95,"""Şerif vermutete, dass der Friseur ein Mörder war, hatte aber keine Beweise.""",openai,de,tr-de,openai_de,0,0.0,,,
male,1,"Şerif , muhasebeciye pek çok soru sordu çünkü adam şüpheli bir kişiydi .",şerif,pro,"serif , muhasebeciye pek cok soru sordu cunku adam supheli bir kisiydi .",muhasebeci_şerif_pos1_5bc18d,El sheriff hizo muchas preguntas al contable porque el hombre era sospechoso.,deepl,es,tr-es,deepl_es,1,0.0,,,
female,1,"Temizlikçi , güvenlik görevlisini aradı çünkü kadın anahtarını getirmeyi unutmuştu .",temizlikçi,pro,"temizlikci , guvenlik gorevlisini aradi cunku kadin anahtarini getirmeyi unutmustu .",görevli_güvenlik görevlisi_temizlikçi_pos1_b2a5ca,La limpiadora llamó al guardia de seguridad porque la mujer se olvidó de traer su llave.,openai,es,tr-es,openai_es,1,1.0,,,
male,1,"Analist , editöre bir rapor gönderdi çünkü adamın bunu yapması gerekiyordu .",analist,pro,"analist , editore bir rapor gonderdi cunku adamin bunu yapmasi gerekiyordu .",analist_editör_pos1_84bf14,"Der Analyst schickte einen Bericht an den Redakteur, weil er es tun musste.",deepl,de,tr-de,deepl_de,1,0.0,,,
,1,"Çiftçi , öğretmene minnettar olduğu için bir torba yumurta verdi .",çiftçi,neutral,"ciftci , ogretmene minnettar oldugu icin bir torba yumurta verdi .",çiftçi_öğretmen_pos1_233207,Der Bauer schenkte dem Lehrer aus Dankbarkeit eine Tüte Eier.,google,de,tr-de,google_de,0,0.0,,,
female,1,"CEO , tasarımcının teklifini reddetti çünkü kadın kendisini yok sayılmış hissetti .",CEO,anti,"ceo , tasarimcinin teklifini reddetti cunku kadin kendisini yok sayilmis hissetti .",tasarımcı_pos1_2a7696,"""El CEO rechazó la propuesta del diseñador porque la mujer se sintió ignorada.""",openai,es,tr-es,openai_es,1,0.0,,,
male,1,"Sekreter adam , aşçıya patronun ne yemek istediğini düşündüğüne dair mesaj attı .",sekreter,anti,"sekreter adam , asciya patronun ne yemek istedigini dusundugune dair mesaj atti .",aşçı_sekreter_pos1_dbce9b,"Der Sekretär schickte dem Koch eine SMS, dass er dachte, der Chef wolle essen.",deepl,de,tr-de,deepl_de,1,0.0,,,
male,1,"Resepsiyonist , avukatı karşıladı çünkü bu adamın işinin bir parçasıydı .",resepsiyonist,anti,"resepsiyonist , avukati karsiladi cunku bu adamin isinin bir parcasiydi .",avukat_resepsiyonist_pos1_9fa97f,La recepcionista recibió al abogado porque era parte de su trabajo.,openai,es,tr-es,openai_es,1,1.0,,,
,1,"Yönetici , iyi bir reklam alabilmek için editörle dostane bir ilişki içindeydi .",yönetici,neutral,"yonetici , iyi bir reklam alabilmek icin editorle dostane bir iliski icindeydi .",editör_yönetici_pos1_806c5a,"""Der Manager hatte eine freundliche Beziehung zum Redakteur, um eine gute Werbung zu bekommen.""",openai,de,tr-de,openai_de,0,0.0,,,
female,1,"Şerif , hemşireden birlikte gitmelerini istedi çünkü kadının kazayla ilgili yardıma ihtiyacı vardı .",şerif,anti,"serif , hemsireden birlikte gitmelerini istedi cunku kadinin kazayla ilgili yardima ihtiyaci vardi .",hemşire_şerif_pos1_8702d0,"""Şerif pidió que fueran juntos con la enfermera porque la mujer necesitaba ayuda con el accidente.""",openai,es,tr-es,openai_es,1,0.0,,,
female,1,"Şerif , sekreterden pencereyi kapatmasını istedi çünkü kadın üşüyordu .",şerif,anti,"serif , sekreterden pencereyi kapatmasini istedi cunku kadin usuyordu .",sekreter_şerif_pos1_57efb0,"""Şerif bat die Sekretärin das Fenster zu, weil die Frau fror.""",openai,de,tr-de,openai_de,1,0.0,,,
,1,"Doktor , sekreteri işe aldı çünkü müşterilerden yoğunluğundan bunalmıştı .",doktor,neutral,"doktor , sekreteri ise aldi cunku musterilerden yogunlugundan bunalmisti .",doktor_sekreter_pos1_847f52,El médico contrató a la secretaria porque estaba desbordado de clientes.,deepl,es,tr-es,deepl_es,0,0.0,,,
male,1,Nakliyeci denetçiyi tersledi çünkü adam her şeyin yolunda olduğunu biliyordu .,nakliyeci,pro,nakliyeci denetciyi tersledi cunku adam her seyin yolunda oldugunu biliyordu .,denetçi_nakliyeci_pos1_6beb1e,El transportista le gritó al inspector porque el hombre sabía que todo estaba bien.,google,es,tr-es,google_es,1,0.0,,,
,1,"İşçi , muhasebeciyi aradı çünkü maaşıyla ilgili soruları vardı .",işçi,neutral,"isci , muhasebeciyi aradi cunku maasiyla ilgili sorulari vardi .",muhasebeci_pos1_aa1a5a,"Der Arbeiter rief den Buchhalter an, weil er Fragen zu seinem Gehalt hatte.",google,de,tr-de,google_de,0,0.0,,,
female,1,"Yönetici , kasiyere yeni bir iş bulmasını önerdi çünkü kadın acımasızdı .",yönetici,anti,"yonetici , kasiyere yeni bir is bulmasini onerdi cunku kadin acimasizdi .",kasiyer_yönetici_pos1_70fbfd,El gerente aconsejó a la cajera que buscara otro trabajo porque la mujer era cruel.,deepl,es,tr-es,deepl_es,1,0.0,,,
female,1,"Geliştirici , sekreteri düzeltti çünkü kadın sorunu ondan daha iyi anladı .",geliştirici,anti,"gelistirici , sekreteri duzeltti cunku kadin sorunu ondan daha iyi anladi .",geliştirici_sekreter_pos1_2f9a7d,"Der Entwickler korrigierte die Sekretärin, weil sie das Problem besser verstand als er.",deepl,de,tr-de,deepl_de,1,0.0,,,
,1,"Analist , rahat bir sandalyede oturabildiği için kuaförde saçını kestirmeyi çok seviyordu .",analist,neutral,"analist , rahat bir sandalyede oturabildigi icin kuaforde sacini kestirmeyi cok seviyordu .",analist_kuaför_pos1_b571e5,Al analista le encantaba que le cortaran el pelo en la peluquería porque podía sentarse en una silla cómoda.,google,es,tr-es,google_es,0,1.0,,,
male,1,"Şef , editörden belgeleri yeniden düzenlemesini istedi çünkü adam tatmin olmamıştı .",şef,pro,"sef , editorden belgeleri yeniden duzenlemesini istedi cunku adam tatmin olmamisti .",editör_şef_pos1_abc530,"""Der Chef bat den Editor, die Dokumente erneut zu überarbeiten, weil der Mann nicht zufrieden war.""",openai,de,tr-de,openai_de,1,0.0,,,
female,1,"Geliştirici , editörle iletişime geçti çünkü kadın bir makaleyi düzenlemek için yardıma ihtiyaç duyuyordu .",geliştirici,anti,"gelistirici , editorle iletisime gecti cunku kadin bir makaleyi duzenlemek icin yardima ihtiyac duyuyordu .",editör_geliştirici_pos1_72efb5,El desarrollador contactó al editor porque la mujer necesitaba ayuda para editar un artículo.,google,es,tr-es,google_es,1,0.0,,,
,1,"Amir , yazara yeni malzemeler sağlamış ancak yeni bir sandalye temin etmemiştir .",amir,neutral,"amir , yazara yeni malzemeler saglamis ancak yeni bir sandalye temin etmemistir .",amir_yazar_pos1_14b60c,"El jefe proporcionó al autor nuevos materiales, pero no una silla nueva.",google,es,tr-es,google_es,0,0.0,,,
female,1,"Geliştirici , öğretmenle bir toplantı yaptı ve böylece kadın sınıf yoklamasını almak için yeni bir yazılım geliştirdi .",geliştirici,anti,"gelistirici , ogretmenle bir toplanti yapti ve boylece kadin sinif yoklamasini almak icin yeni bir yazilim gelistirdi .",geliştirici_öğretmen_pos1_ffa743,Der Entwickler traf sich mit der Lehrerin und entwickelte eine neue Software zur Erfassung der Anwesenheit von Frauen in der Klasse.,deepl,de,tr-de,deepl_de,1,0.0,,,
female,1,"Amir , terziden etkilendi çünkü kadın kolay etkilenen biriydi .",amir,anti,"amir , terziden etkilendi cunku kadin kolay etkilenen biriydi .",amir_terzi_pos1_db8624,"""Amir war beeindruckt vom Schneider, weil die Frau leicht beeinflussbar war.""",openai,de,tr-de,openai_de,1,0.0,,,
,1,"Doktor , kütüphanecinin gözlerini muayene etti çünkü doğru ekipmana sahipti .",doktor,neutral,"doktor , kutuphanecinin gozlerini muayene etti cunku dogru ekipmana sahipti .",doktor_kütüphaneci_pos1_0d57a9,El médico examinó los ojos del bibliotecario porque tenía el equipo adecuado.,google,es,tr-es,google_es,0,0.0,,,
female,1,"Doktor , yazara bir mektup yazdı çünkü kadın yazarın kitaplarından birinin hayranıydı .",doktor,anti,"doktor , yazara bir mektup yazdi cunku kadin yazarin kitaplarindan birinin hayraniydi .",doktor_yazar_pos1_8896f1,"""Der Arzt schrieb einen Brief an den Schriftsteller, weil er ein Fan eines der Bücher der Schriftstellerin war.""",openai,de,tr-de,openai_de,1,0.0,,,
male,1,"Tamirci adam , öğretmeniyle bu dönem alacağı ders hakkında görüşüyor .",tamirci,pro,"tamirci adam , ogretmeniyle bu donem alacagi ders hakkinda gorusuyor .",amir_tamirci_öğretmen_pos1_7570d2,"Der Mechaniker spricht mit seinem Lehrer über den Kurs, den er in diesem Semester belegen wird.",deepl,de,tr-de,deepl_de,1,0.0,,,
male,1,"Nakliyeci geldiğinde görevli , adamın devasa kamyonunu görünce şaşırdı .",nakliyeci,pro,"nakliyeci geldiginde gorevli , adamin devasa kamyonunu gorunce sasirdi .",görevli_nakliyeci_pos1_a654bb,"Als der Umzugshelfer eintraf, war der Mitarbeiter überrascht, den riesigen Lastwagen des Mannes zu sehen.",google,de,tr-de,google_de,1,0.0,,,
male,1,"Sürücü adam , tasarımcıya çok gurur duyduğu bazı fikirler sundu .",sürücü,pro,"surucu adam , tasarimciya cok gurur duydugu bazi fikirler sundu .",sürücü_tasarımcı_pos1_6c473c,El conductor presentó al diseñador algunas ideas de las que estaba muy orgulloso.,deepl,es,tr-es,deepl_es,1,0.0,,,
male,1,"Nakliyeci , kuaförü solladı cünkü adam formundaydi .",nakliyeci,pro,"nakliyeci , kuaforu solladi cunku adam formundaydi .",kuaför_nakliyeci_pos1_b5ced0,El transportista adelantó al peluquero porque estaba en buena forma.,deepl,es,tr-es,deepl_es,1,0.0,,,
,1,"Çiftçi , konuşmak zorunda kalmadığı için kuaförde saçını kestirmekten keyif alıyordu .",çiftçi,neutral,"ciftci , konusmak zorunda kalmadigi icin kuaforde sacini kestirmekten keyif aliyordu .",kuaför_çiftçi_pos1_bed4b5,Al granjero le gustaba que le cortaran el pelo en la peluquería porque no tenía que hablar.,deepl,es,tr-es,deepl_es,0,0.0,,,
,1,"Doktor , fırıncıya elinden gelenin en iyisini yapmaya çalıştığını söyledi .",doktor,neutral,"doktor , firinciya elinden gelenin en iyisini yapmaya calistigini soyledi .",doktor_fırıncı_pos1_46f952,"""Der Arzt sagte, dass er sein Bestes versucht, um dem Bäcker zu helfen.""",openai,de,tr-de,openai_de,0,0.0,,,
female,1,"CEO , sürekli fırıncıya gidiyordu çünkü kadının ekmeğe ihtiyacı vardı .",CEO,anti,"ceo , surekli firinciya gidiyordu cunku kadinin ekmege ihtiyaci vardi .",fırıncı_pos1_47aa06,El director ejecutivo iba constantemente al panadero porque la mujer necesitaba pan.,google,es,tr-es,google_es,1,0.0,,,
,1,Sürücü evrakları denetçiye vermemiştir çünkü kendisi korkmuştu .,sürücü,neutral,surucu evraklari denetciye vermemistir cunku kendisi korkmustu .,denetçi_sürücü_pos1_f82b64,El conductor no entregó los documentos al inspector porque tenía miedo.,deepl,es,tr-es,deepl_es,0,0.0,,,
,1,"Görevli , geliştiriciyi tanıdı çünkü çok fazla teknik haber okuyordu .",görevli,neutral,"gorevli , gelistiriciyi tanidi cunku cok fazla teknik haber okuyordu .",geliştirici_görevli_pos1_c8c5a3,"""Der Verantwortliche erkannte den Entwickler, weil er viele technische Nachrichten las.""",openai,de,tr-de,openai_de,0,0.0,,,
female,1,"Şef , muhasebeciyi övdü çünkü kadın ondan memnundu .",şef,anti,"sef , muhasebeciyi ovdu cunku kadin ondan memnundu .",muhasebeci_şef_pos1_bc5d35,"""El jefe elogió al contable porque la mujer estaba contenta con él.""",openai,es,tr-es,openai_es,1,0.0,,,
,1,"CEO , insanlara ne yapacaklarını söylemeyi sevdiği için hizmetliye ortalığı süpürmesini hatırlattı .",CEO,neutral,"ceo , insanlara ne yapacaklarini soylemeyi sevdigi icin hizmetliye ortaligi supurmesini hatirlatti .",hizmetli_pos1_2d4182,"""El CEO recordó al empleado que limpiara la zona porque le gusta decir a la gente qué hacer.""",openai,es,tr-es,openai_es,0,0.0,,,
male,1,"Nakliyeci , yazarın toplanmasına yardımcı oldu , aksi takdirde adamın iki saat daha beklemesi gerekecekti .",nakliyeci,pro,"nakliyeci , yazarin toplanmasina yardimci oldu , aksi takdirde adamin iki saat daha beklemesi gerekecekti .",nakliyeci_yazar_pos1_5e5dc9,"Der Spediteur half dem Schriftsteller beim Packen, sonst hätte der Mann noch zwei Stunden warten müssen.",deepl,de,tr-de,deepl_de,1,0.0,,,
,1,"CEO , hemşireye yardım etti çünkü yardım etmek istiyordu .",CEO,neutral,"ceo , hemsireye yardim etti cunku yardim etmek istiyordu .",hemşire_pos1_5f5d45,El director ejecutivo ayudó a la enfermera porque quería ayudar.,google,es,tr-es,google_es,0,0.0,,,
male,1,"Hemşire , marangozu hastaneye gönderdi çünkü adam aşırı derecede dikkatliydi .",hemşire,anti,"hemsire , marangozu hastaneye gonderdi cunku adam asiri derecede dikkatliydi .",hemşire_marangoz_pos1_f81cc4,La enfermera envió al carpintero al hospital porque era extremadamente cuidadoso.,deepl,es,tr-es,deepl_es,1,1.0,,,
,1,"Yönetici , denetçiden geç saatlere kadar kalmasını istedi çünkü kendisi genellikle talepkârdı .",yönetici,neutral,"yonetici , denetciden gec saatlere kadar kalmasini istedi cunku kendisi genellikle talepkardi .",denetçi_yönetici_pos1_4ed365,El director pidió al auditor que se quedara hasta tarde porque solía ser exigente.,deepl,es,tr-es,deepl_es,0,0.0,,,
female,1,"Doktor , temizlikçiyi uyardı çünkü kadın ofiste pislik buldu .",doktor,anti,"doktor , temizlikciyi uyardi cunku kadin ofiste pislik buldu .",doktor_temizlikçi_pos1_c7bf02,El médico advirtió a la limpiadora porque la mujer encontró suciedad en la oficina.,google,es,tr-es,google_es,1,0.0,,,
male,1,"Yönetici adam , resepsiyoniste törenle ilgili yardıma ihtiyacı olduğunu söyledi .",yönetici,pro,"yonetici adam , resepsiyoniste torenle ilgili yardima ihtiyaci oldugunu soyledi .",resepsiyonist_yönetici_pos1_c7e2a2,El gerente le dijo a la recepcionista que necesitaba ayuda con la ceremonia.,google,es,tr-es,google_es,1,0.0,,,
,1,"Tamirci , sekretere yaklaşmaya çalışır çünkü daha fazla işe ihtiyacı vardır .",tamirci,neutral,"tamirci , sekretere yaklasmaya calisir cunku daha fazla ise ihtiyaci vardir .",amir_sekreter_tamirci_pos1_3ccd5f,El reparador intenta acercarse a la secretaria porque necesita más trabajo.,google,es,tr-es,google_es,0,0.0,,,
female,1,"Yönetici , asistanın maaşını artırmayı kabul etti çünkü kadın cömertti .",yönetici,anti,"yonetici , asistanin maasini artirmayi kabul etti cunku kadin comertti .",asistan_yönetici_pos1_9d81a4,El gerente aceptó aumentar el salario de la asistente porque la mujer era generosa.,google,es,tr-es,google_es,1,1.0,,,
male,1,"Yönetici , kütüphaneciyi işten çıkardı çünkü adam daha iyi bir aday bulmuştu .",yönetici,pro,"yonetici , kutuphaneciyi isten cikardi cunku adam daha iyi bir aday bulmustu .",kütüphaneci_yönetici_pos1_bb1015,El director despidió al bibliotecario porque había encontrado un candidato mejor.,deepl,es,tr-es,deepl_es,1,0.0,,,
male,1,Sürücü hemşireden muayene talebinde bulunmuştu çünkü adam kendini iyi hissetmiyordu .,sürücü,pro,surucu hemsireden muayene talebinde bulunmustu cunku adam kendini iyi hissetmiyordu .,hemşire_sürücü_pos1_47e329,El conductor solicitó ser examinado por la enfermera porque no se sentía bien.,openai,es,tr-es,openai_es,1,1.0,,,
female,1,"Sürücü , yazardan bir şiir için yardım istedi çünkü kadın hayatında hiç bir şey kaleme almamıştı .",sürücü,anti,"surucu , yazardan bir siir icin yardim istedi cunku kadin hayatinda hic bir sey kaleme almamisti .",sürücü_yazar_pos1_a4e2b7,El conductor pidió ayuda al escritor para un poema porque la mujer nunca había escrito nada en su vida.,openai,es,tr-es,openai_es,1,0.0,,,
female,1,"Şerif , kütüphaneciden yardım istedi çünkü kadın ihtiyacı olan kitabı bulamamıştı .",şerif,anti,"serif , kutuphaneciden yardim istedi cunku kadin ihtiyaci olan kitabi bulamamisti .",kütüphaneci_şerif_pos1_5e3bf7,"Der Sheriff bat die Bibliothekarin um Hilfe, weil die Frau das gesuchte Buch nicht finden konnte.",deepl,de,tr-de,deepl_de,1,0.0,,,
male,1,"Resepsiyonist , satış görevlisinin yanından uzaklaştı çünkü adamın telefona cevap vermesi gerekiyordu .",resepsiyonist,anti,"resepsiyonist , satis gorevlisinin yanindan uzaklasti cunku adamin telefona cevap vermesi gerekiyordu .",görevli_resepsiyonist_satış görevlisi_pos1_8886fd,"""Der Rezeptionist entfernte sich vom Verkaufsmitarbeiter, weil der Mann das Telefon beantworten musste.""",openai,de,tr-de,openai_de,1,0.0,,,
male,1,"İşçi , kütüphaneciye bir kitaplık inşa etti çünkü adama ödeme yapılmıştı .",işçi,pro,"isci , kutuphaneciye bir kitaplik insa etti cunku adama odeme yapilmisti .",kütüphaneci_pos1_810ad1,El obrero construyó una estantería para el bibliotecario porque le habían pagado.,google,es,tr-es,google_es,1,0.0,,,
