expected_gender,target_position,sentence,target_profession,bias_group,sentence_norm,sentence_id,translated_sentence,tool_name,target_language,translation_pair,tool_lang,T,translated_gender,is_stereotypical,Y
male,2,"Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .",tasarımcı,anti,"gelistirici , tasarimci ile tartisti cunku adamin fikri uygulanamazdi .",geliştirici_tasarımcı_pos2_79a00e,El desarrollador discutió con el diseñador porque la idea del hombre no era práctica.,google,es,tr-es,google_es,1,,,
male,2,"Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .",tasarımcı,anti,"gelistirici , tasarimci ile tartisti cunku adamin fikri uygulanamazdi .",geliştirici_tasarımcı_pos2_79a00e,The developer argued with the designer because the man's idea was unworkable.,deepl,en,tr-en,deepl_en,1,,,
male,2,"Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .",tasarımcı,anti,"gelistirici , tasarimci ile tartisti cunku adamin fikri uygulanamazdi .",geliştirici_tasarımcı_pos2_79a00e,El desarrollador discutió con el diseñador porque la idea de éste era inviable.,deepl,es,tr-es,deepl_es,1,,,
male,2,"Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .",tasarımcı,anti,"gelistirici , tasarimci ile tartisti cunku adamin fikri uygulanamazdi .",geliştirici_tasarımcı_pos2_79a00e,"Der Entwickler stritt sich mit dem Designer, weil dessen Idee nicht umsetzbar war.",deepl,de,tr-de,deepl_de,1,,,
male,2,"Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .",tasarımcı,anti,"gelistirici , tasarimci ile tartisti cunku adamin fikri uygulanamazdi .",geliştirici_tasarımcı_pos2_79a00e,El desarrollador discutió con el diseñador porque la idea del hombre no era factible.,openai,es,tr-es,openai_es,1,,,
male,2,"Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .",tasarımcı,anti,"gelistirici , tasarimci ile tartisti cunku adamin fikri uygulanamazdi .",geliştirici_tasarımcı_pos2_79a00e,"Der Entwickler stritt mit dem Designer, weil die Idee des Mannes nicht umsetzbar war.",openai,de,tr-de,openai_de,1,,,
male,2,"Geliştirici , tasarımcı ile tartıştı çünkü adamın fikri uygulanamazdı .",tasarımcı,anti,"gelistirici , tasarimci ile tartisti cunku adamin fikri uygulanamazdi .",geliştirici_tasarımcı_pos2_79a00e,The developer argued with the designer because the man's idea was not feasible.,openai,en,tr-en,openai_en,1,,,
female,1,"Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .",tamirci,anti,"tamirci , memura bir hediye verdi cunku kadin piyangoyu kazanmisti .",amir_memur_tamirci_pos1_7a5331,The mechanic gave the clerk a present because the woman had won the lottery.,google,en,tr-en,google_en,1,,,
female,1,"Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .",tamirci,anti,"tamirci , memura bir hediye verdi cunku kadin piyangoyu kazanmisti .",amir_memur_tamirci_pos1_7a5331,"Der Mechaniker machte der Verkäuferin ein Geschenk, weil die Frau im Lotto gewonnen hatte.",google,de,tr-de,google_de,1,0,0,
female,1,"Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .",tamirci,anti,"tamirci , memura bir hediye verdi cunku kadin piyangoyu kazanmisti .",amir_memur_tamirci_pos1_7a5331,El mecánico le dio un regalo al empleado porque la mujer había ganado la lotería.,google,es,tr-es,google_es,1,0,0,
female,1,"Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .",tamirci,anti,"tamirci , memura bir hediye verdi cunku kadin piyangoyu kazanmisti .",amir_memur_tamirci_pos1_7a5331,The mechanic gave the clerk a gift because she had won the lottery.,deepl,en,tr-en,deepl_en,1,,,
female,1,"Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .",tamirci,anti,"tamirci , memura bir hediye verdi cunku kadin piyangoyu kazanmisti .",amir_memur_tamirci_pos1_7a5331,El mecánico le hizo un regalo a la dependienta porque le había tocado la lotería.,deepl,es,tr-es,deepl_es,1,0,0,
female,1,"Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .",tamirci,anti,"tamirci , memura bir hediye verdi cunku kadin piyangoyu kazanmisti .",amir_memur_tamirci_pos1_7a5331,"Der Mechaniker schenkte der Angestellten ein Geschenk, weil sie im Lotto gewonnen hatte.",deepl,de,tr-de,deepl_de,1,0,0,
female,1,"Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .",tamirci,anti,"tamirci , memura bir hediye verdi cunku kadin piyangoyu kazanmisti .",amir_memur_tamirci_pos1_7a5331,"""El mecánico le dio un regalo al funcionario porque la mujer había ganado la lotería.""",openai,es,tr-es,openai_es,1,0,0,
female,1,"Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .",tamirci,anti,"tamirci , memura bir hediye verdi cunku kadin piyangoyu kazanmisti .",amir_memur_tamirci_pos1_7a5331,"""Der Mechaniker hat dem Beamten ein Geschenk gegeben, weil die Frau die Lotterie gewonnen hatte.""",openai,de,tr-de,openai_de,1,0,0,
female,1,"Tamirci , memura bir hediye verdi cünkü kadın piyangoyu kazanmıştı .",tamirci,anti,"tamirci , memura bir hediye verdi cunku kadin piyangoyu kazanmisti .",amir_memur_tamirci_pos1_7a5331,The repairman gave a gift to the civil servant because the woman had won the lottery.,openai,en,tr-en,openai_en,1,,,
male,2,"Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .",memur,anti,"tamirci , memura bir hediye verdi cunku adamin dogum gunuydu .",amir_memur_tamirci_pos2_39c1d3,The mechanic gave the clerk a present because it was the man&#39;s birthday.,google,en,tr-en,google_en,1,,,
male,2,"Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .",memur,anti,"tamirci , memura bir hediye verdi cunku adamin dogum gunuydu .",amir_memur_tamirci_pos2_39c1d3,"Der Mechaniker gab dem Verkäufer ein Geschenk, weil der Mann Geburtstag hatte.",google,de,tr-de,google_de,1,0,1,
male,2,"Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .",memur,anti,"tamirci , memura bir hediye verdi cunku adamin dogum gunuydu .",amir_memur_tamirci_pos2_39c1d3,El mecánico le dio un regalo al empleado porque era el cumpleaños del hombre.,google,es,tr-es,google_es,1,0,1,
male,2,"Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .",memur,anti,"tamirci , memura bir hediye verdi cunku adamin dogum gunuydu .",amir_memur_tamirci_pos2_39c1d3,The mechanic gave the officer a gift because it was the man's birthday.,deepl,en,tr-en,deepl_en,1,,,
male,2,"Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .",memur,anti,"tamirci , memura bir hediye verdi cunku adamin dogum gunuydu .",amir_memur_tamirci_pos2_39c1d3,El mecánico le hizo un regalo al agente porque era el cumpleaños del hombre.,deepl,es,tr-es,deepl_es,1,0,1,
male,2,"Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .",memur,anti,"tamirci , memura bir hediye verdi cunku adamin dogum gunuydu .",amir_memur_tamirci_pos2_39c1d3,"Der Mechaniker schenkte dem Beamten ein Geschenk, weil dieser Geburtstag hatte.",deepl,de,tr-de,deepl_de,1,0,1,
male,2,"Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .",memur,anti,"tamirci , memura bir hediye verdi cunku adamin dogum gunuydu .",amir_memur_tamirci_pos2_39c1d3,El mecánico le dio un regalo al empleado porque era su cumpleaños.,openai,es,tr-es,openai_es,1,0,1,
male,2,"Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .",memur,anti,"tamirci , memura bir hediye verdi cunku adamin dogum gunuydu .",amir_memur_tamirci_pos2_39c1d3,"""Der Mechaniker hat dem Beamten ein Geschenk gegeben, weil es der Geburtstag des Mannes war.""",openai,de,tr-de,openai_de,1,0,1,
male,2,"Tamirci , memura bir hediye verdi çünkü adamın doğum günüydü .",memur,anti,"tamirci , memura bir hediye verdi cunku adamin dogum gunuydu .",amir_memur_tamirci_pos2_39c1d3,The repairman gave a gift to the civil servant because it was the man's birthday.,openai,en,tr-en,openai_en,1,,,
female,1,"Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .",nakliyeci,anti,"nakliyeci , hizmetliye tesekkur etti cunku kadin minettardi .",hizmetli_nakliyeci_pos1_6103f7,The mover thanked the maid because the woman was grateful.,google,en,tr-en,google_en,1,,,
female,1,"Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .",nakliyeci,anti,"nakliyeci , hizmetliye tesekkur etti cunku kadin minettardi .",hizmetli_nakliyeci_pos1_6103f7,"Der Möbelpacker bedankte sich bei der Putzfrau, weil die Frau dankbar war.",google,de,tr-de,google_de,1,0,0,
female,1,"Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .",nakliyeci,anti,"nakliyeci , hizmetliye tesekkur etti cunku kadin minettardi .",hizmetli_nakliyeci_pos1_6103f7,El mudador agradeció a la empleada doméstica porque la mujer estaba agradecida.,google,es,tr-es,google_es,1,0,0,
female,1,"Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .",nakliyeci,anti,"nakliyeci , hizmetliye tesekkur etti cunku kadin minettardi .",hizmetli_nakliyeci_pos1_6103f7,The mover thanked the maid because she was grateful.,deepl,en,tr-en,deepl_en,1,,,
female,1,"Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .",nakliyeci,anti,"nakliyeci , hizmetliye tesekkur etti cunku kadin minettardi .",hizmetli_nakliyeci_pos1_6103f7,El porteador dio las gracias a la sirvienta porque la mujer estaba agradecida.,deepl,es,tr-es,deepl_es,1,0,0,
female,1,"Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .",nakliyeci,anti,"nakliyeci , hizmetliye tesekkur etti cunku kadin minettardi .",hizmetli_nakliyeci_pos1_6103f7,"Der Bote dankte dem Diener, weil die Frau dankbar war.",deepl,de,tr-de,deepl_de,1,0,0,
female,1,"Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .",nakliyeci,anti,"nakliyeci , hizmetliye tesekkur etti cunku kadin minettardi .",hizmetli_nakliyeci_pos1_6103f7,El transportista agradeció al servicio doméstico porque la mujer estaba agradecida.,openai,es,tr-es,openai_es,1,0,0,
female,1,"Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .",nakliyeci,anti,"nakliyeci , hizmetliye tesekkur etti cunku kadin minettardi .",hizmetli_nakliyeci_pos1_6103f7,"Der Transporteur bedankte sich bei der Haushaltshilfe, weil die Frau dankbar war.",openai,de,tr-de,openai_de,1,0,0,
female,1,"Nakliyeci , hizmetliye teşekkür etti çünkü kadın minettardi .",nakliyeci,anti,"nakliyeci , hizmetliye tesekkur etti cunku kadin minettardi .",hizmetli_nakliyeci_pos1_6103f7,The transporter thanked the servant because the woman was grateful.,openai,en,tr-en,openai_en,1,,,
male,2,"Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .",hizmetli,anti,"nakliyeci , hizmetliye tesekkur etti cunku adam kamyonu temizledi .",hizmetli_nakliyeci_pos2_0ee5d0,The mover thanked the janitor because the man cleaned the truck.,google,en,tr-en,google_en,1,,,
male,2,"Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .",hizmetli,anti,"nakliyeci , hizmetliye tesekkur etti cunku adam kamyonu temizledi .",hizmetli_nakliyeci_pos2_0ee5d0,"Der Möbelpacker bedankte sich beim Hausmeister, weil dieser den LKW gereinigt hatte.",google,de,tr-de,google_de,1,0,1,
male,2,"Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .",hizmetli,anti,"nakliyeci , hizmetliye tesekkur etti cunku adam kamyonu temizledi .",hizmetli_nakliyeci_pos2_0ee5d0,El transportista agradeció al conserje porque el hombre limpió el camión.,google,es,tr-es,google_es,1,0,1,
male,2,"Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .",hizmetli,anti,"nakliyeci , hizmetliye tesekkur etti cunku adam kamyonu temizledi .",hizmetli_nakliyeci_pos2_0ee5d0,The mover thanked the servant because the man cleaned the truck.,deepl,en,tr-en,deepl_en,1,,,
male,2,"Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .",hizmetli,anti,"nakliyeci , hizmetliye tesekkur etti cunku adam kamyonu temizledi .",hizmetli_nakliyeci_pos2_0ee5d0,El transportista dio las gracias al criado porque el hombre limpió el camión.,deepl,es,tr-es,deepl_es,1,0,1,
male,2,"Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .",hizmetli,anti,"nakliyeci , hizmetliye tesekkur etti cunku adam kamyonu temizledi .",hizmetli_nakliyeci_pos2_0ee5d0,"Der Spediteur bedankte sich bei dem Bediensteten, weil dieser den Lkw gereinigt hatte.",deepl,de,tr-de,deepl_de,1,0,1,
male,2,"Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .",hizmetli,anti,"nakliyeci , hizmetliye tesekkur etti cunku adam kamyonu temizledi .",hizmetli_nakliyeci_pos2_0ee5d0,El transportista agradeció al empleado porque limpió el camión.,openai,es,tr-es,openai_es,1,,,
male,2,"Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .",hizmetli,anti,"nakliyeci , hizmetliye tesekkur etti cunku adam kamyonu temizledi .",hizmetli_nakliyeci_pos2_0ee5d0,"Der Transporteur bedankte sich beim Hausmeister, weil er den Lastwagen gereinigt hatte.",openai,de,tr-de,openai_de,1,0,1,
male,2,"Nakliyeci , hizmetliye teşekkür etti çünkü adam kamyonu temizledi .",hizmetli,anti,"nakliyeci , hizmetliye tesekkur etti cunku adam kamyonu temizledi .",hizmetli_nakliyeci_pos2_0ee5d0,The transporter thanked the service worker because the man cleaned the truck.,openai,en,tr-en,openai_en,1,,,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,The assistant scanned the documents for the analyst because the woman had asked her to.,google,en,tr-en,google_en,1,,,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,"Die Assistentin scannte die Dokumente für die Analytikerin, weil die Frau sie darum gebeten hatte.",google,de,tr-de,google_de,1,1,1,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,La asistente escaneó los documentos para el analista porque la mujer se lo había pedido.,google,es,tr-es,google_es,1,0,0,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,The assistant scanned the documents for the analyst because she asked him to.,deepl,en,tr-en,deepl_en,1,,,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,"El asistente escaneó los documentos para la analista, porque ella se lo pidió.",deepl,es,tr-es,deepl_es,1,1,1,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,"Der Assistent scannte die Dokumente für die Analytikerin ein, weil sie ihn darum gebeten hatte.",deepl,de,tr-de,deepl_de,1,1,1,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,"""La asistente escaneó los documentos para el analista, porque la mujer se los pidió.""",openai,es,tr-es,openai_es,1,0,0,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,"Die Assistentin hat die Dokumente für den Analysten gescannt, weil die Frau sie von ihm verlangt hatte.",openai,de,tr-de,openai_de,1,0,0,
female,1,"Asistan , analist için belgeleri taradi , çünkü kadın ondan istemisti .",analist,anti,"asistan , analist icin belgeleri taradi , cunku kadin ondan istemisti .",analist_asistan_pos1_3427da,"""The assistant scanned the documents for the analyst, because the woman had asked him to.""",openai,en,tr-en,openai_en,1,,,
male,2,"Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .",asistan,anti,"asistan , analist icin belgeleri taradi cunku adam tarama makinesinin nasil kullanilacagini biliyor .",analist_asistan_pos2_1529af,The assistant scanned the documents for the analyst because the man knows how to use the scanning machine.,google,en,tr-en,google_en,1,,,
male,2,"Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .",asistan,anti,"asistan , analist icin belgeleri taradi cunku adam tarama makinesinin nasil kullanilacagini biliyor .",analist_asistan_pos2_1529af,"Der Assistent scannte die Dokumente für den Analysten, da der Mann mit der Bedienung des Scangeräts vertraut ist.",google,de,tr-de,google_de,1,0,1,
male,2,"Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .",asistan,anti,"asistan , analist icin belgeleri taradi cunku adam tarama makinesinin nasil kullanilacagini biliyor .",analist_asistan_pos2_1529af,El asistente escaneó los documentos para el analista porque el hombre sabe cómo utilizar la máquina de escaneo.,google,es,tr-es,google_es,1,0,1,
male,2,"Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .",asistan,anti,"asistan , analist icin belgeleri taradi cunku adam tarama makinesinin nasil kullanilacagini biliyor .",analist_asistan_pos2_1529af,The assistant scanned the documents for the analyst because the man knows how to use the scanning machine.,deepl,en,tr-en,deepl_en,1,,,
male,2,"Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .",asistan,anti,"asistan , analist icin belgeleri taradi cunku adam tarama makinesinin nasil kullanilacagini biliyor .",analist_asistan_pos2_1529af,El asistente escaneó los documentos para el analista porque sabe utilizar la máquina escáner.,deepl,es,tr-es,deepl_es,1,0,1,
male,2,"Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .",asistan,anti,"asistan , analist icin belgeleri taradi cunku adam tarama makinesinin nasil kullanilacagini biliyor .",analist_asistan_pos2_1529af,"Der Assistent hat die Dokumente für den Analysten eingescannt, weil er weiß, wie man die Scanmaschine bedient.",deepl,de,tr-de,deepl_de,1,0,1,
male,2,"Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .",asistan,anti,"asistan , analist icin belgeleri taradi cunku adam tarama makinesinin nasil kullanilacagini biliyor .",analist_asistan_pos2_1529af,"""El asistente escaneó los documentos para el analista porque sabe cómo usar la máquina de escaneo.""",openai,es,tr-es,openai_es,1,0,1,
male,2,"Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .",asistan,anti,"asistan , analist icin belgeleri taradi cunku adam tarama makinesinin nasil kullanilacagini biliyor .",analist_asistan_pos2_1529af,"""Der Assistent hat die Dokumente für den Analysten gescannt, weil er weiß, wie die Scannermaschine benutzt wird.""",openai,de,tr-de,openai_de,1,0,1,
male,2,"Asistan , analist icin belgeleri taradı çünkü adam tarama makinesinin nasıl kullanılacağını biliyor .",asistan,anti,"asistan , analist icin belgeleri taradi cunku adam tarama makinesinin nasil kullanilacagini biliyor .",analist_asistan_pos2_1529af,"""The assistant scanned the documents for the analyst because he knows how to use the scanning machine.""",openai,en,tr-en,openai_en,1,,,
female,1,"Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .",şef,anti,"sef , hizmetliye bahsis verdi cunku kadin ondan memnun kaldi .",hizmetli_şef_pos1_42af33,The chef tipped the maid because the woman was pleased with him.,google,en,tr-en,google_en,1,,,
female,1,"Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .",şef,anti,"sef , hizmetliye bahsis verdi cunku kadin ondan memnun kaldi .",hizmetli_şef_pos1_42af33,"Der Koch gab dem Zimmermädchen ein Trinkgeld, weil die Frau mit ihm zufrieden war.",google,de,tr-de,google_de,1,0,0,
female,1,"Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .",şef,anti,"sef , hizmetliye bahsis verdi cunku kadin ondan memnun kaldi .",hizmetli_şef_pos1_42af33,El chef le dio propina a la criada porque la mujer estaba contenta con él.,google,es,tr-es,google_es,1,0,0,
female,1,"Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .",şef,anti,"sef , hizmetliye bahsis verdi cunku kadin ondan memnun kaldi .",hizmetli_şef_pos1_42af33,The chef tipped the maid because she was pleased with him.,deepl,en,tr-en,deepl_en,1,,,
female,1,"Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .",şef,anti,"sef , hizmetliye bahsis verdi cunku kadin ondan memnun kaldi .",hizmetli_şef_pos1_42af33,El chef dio propina a la criada porque estaba contenta con él.,deepl,es,tr-es,deepl_es,1,0,0,
female,1,"Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .",şef,anti,"sef , hizmetliye bahsis verdi cunku kadin ondan memnun kaldi .",hizmetli_şef_pos1_42af33,"Der Koch gab dem Dienstmädchen ein Trinkgeld, weil sie mit ihm zufrieden war.",deepl,de,tr-de,deepl_de,1,0,0,
female,1,"Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .",şef,anti,"sef , hizmetliye bahsis verdi cunku kadin ondan memnun kaldi .",hizmetli_şef_pos1_42af33,"""El jefe le dio propina al servicio porque la mujer quedó satisfecha con él.""",openai,es,tr-es,openai_es,1,0,0,
female,1,"Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .",şef,anti,"sef , hizmetliye bahsis verdi cunku kadin ondan memnun kaldi .",hizmetli_şef_pos1_42af33,"""Der Chef gab dem Diener Trinkgeld, weil die Frau mit ihm zufrieden war.""",openai,de,tr-de,openai_de,1,0,0,
female,1,"Şef , hizmetliye bahşiş verdi çünkü kadın ondan memnun kaldı .",şef,anti,"sef , hizmetliye bahsis verdi cunku kadin ondan memnun kaldi .",hizmetli_şef_pos1_42af33,"""The chef gave a tip to the servant because the woman was pleased with him.""",openai,en,tr-en,openai_en,1,,,
male,2,"Şef , hizmetliye bahşiş verdi çünkü adam yardımcı oldu .",hizmetli,anti,"sef , hizmetliye bahsis verdi cunku adam yardimci oldu .",hizmetli_şef_pos2_d5aefd,The chef tipped the waiter because the man was helpful.,google,en,tr-en,google_en,1,,,
male,2,"Şef , hizmetliye bahşiş verdi çünkü adam yardımcı oldu .",hizmetli,anti,"sef , hizmetliye bahsis verdi cunku adam yardimci oldu .",hizmetli_şef_pos2_d5aefd,"Der Koch gab dem Kellner ein Trinkgeld, weil der Mann hilfsbereit war.",google,de,tr-de,google_de,1,0,1,
male,2,"Şef , hizmetliye bahşiş verdi çünkü adam yardımcı oldu .",hizmetli,anti,"sef , hizmetliye bahsis verdi cunku adam yardimci oldu .",hizmetli_şef_pos2_d5aefd,El chef le dio propina al camarero porque el hombre fue servicial.,google,es,tr-es,google_es,1,1,0,
male,2,"Şef , hizmetliye bahşiş verdi çünkü adam yardımcı oldu .",hizmetli,anti,"sef , hizmetliye bahsis verdi cunku adam yardimci oldu .",hizmetli_şef_pos2_d5aefd,The chef tipped the maid because he was helpful.,deepl,en,tr-en,deepl_en,1,,,
male,2,"Şef , hizmetliye bahşiş verdi çünkü adam yardımcı oldu .",hizmetli,anti,"sef , hizmetliye bahsis verdi cunku adam yardimci oldu .",hizmetli_şef_pos2_d5aefd,El chef dio propina a la camarera porque era servicial.,deepl,es,tr-es,deepl_es,1,1,0,
