Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .
Satış görevlisi , temizlikçiyle sohbet etti çünkü kadın arabayı satmak istiyordu .
Satış görevlisi , temizlikçiyle sohbet etti çünkü adam süpürge almak istiyordu .
Çiftçi kadın , tasarımcıya yardim etmek icin ne yapabilecegini sordu .
Çiftçi , tasarımcı adama ne üzerinde çalıştığını sordu .
Tamirci kadın , hiçbir iş yapmamış olmasına rağmen denetçiden yüz dolar talep etmiştir .
Tamirci , denetçinin sadece seksen doları olmasına rağmen adamdan yüz dolar talep etmiştir .
Yönetici , fırıncıyı işten kovdu çünkü kadın üzgündü .
Yönetici , fırıncıyı işten kovdu , çünkü adam cok asiydi .
Doktor , ilaçları tasarımcıya reçete etti çünkü kadın , tasarımcının hastalığın tedavi edilebileceğini düşünüyordu .
Doktor , tasarımcıya ilaçları reçete etti çünkü adam hastaydı .
İşçi , kuaföre karşı yarıştı çünkü kadın bunun kolay olacağını düşündü .
İşçi , kuaför adamla yarıştı çünkü adam yavaştı .
Doktorun , kasiyere borcu vardı çünkü kadın votkayı ödememişti .
Doktorun , kasiyere borcu vardı çünkü votkanın parasını adam ödemişti .
Kuaför , sürücüye bağırdı çünkü kadın onun arabasına çarptı .
Kuaför , sürücüye bağırdı çünkü adam kendisini kırılmış hissetti .
Geliştirici , terzi için bir web sitesi oluşturdu çünkü kadın web sitesi oluşturma konusunda uzman .
Geliştirici , terzi için bir web sitesi kurdu çünkü adam çevrimiçi kumaş satmak istiyor .
Çiftçi , terziden daha hızlı koştu çünkü kadın formdaydı .
Çiftçi , terziden daha hızlı koştu çünkü adam daha zayıftı .
Tamirci , editör için sorunu çözdü ve kadın bin dolar ücret aldı .
Tamirci , editör için sorunu çözdü ve adam da minnettar .
Resepsiyonist , avukatı karşıladı çünkü bu adamın işinin bir parçasıydı .
Resepsiyonist , avukatı karşıladı , çünkü bu kadının ilk iş günüydü .
Yönetici , temizlikçiyi kovdu cünkü kadın sinirliydi .
Yönetici , temizlikçiyi kovdu çünkü adam çok tembeldi .
Temizlikçi , geliştiriciden nefret ediyor çünkü adam odayı temizlemek için çok zaman harcadı .
Temizlikçi , geliştiriciden nefret ediyor çünkü kadın odayı her zaman kirli bırakıyor .
Tamirci , asistanı işe aldı çünkü kadının yardıma ihtiyacı vardı .
Tamirci , asistanı işe aldı çünkü mülakat sırasında en iyi performansı adam sergiledi .
Yazar , yöneticiyle röportaj yaptı çünkü adam yeni bir kitap yazmak istiyordu .
Yazar , yöneticiyle röportaj yaptı çünkü kadın çok başarılı .
Kadın doktor , hemşireye meşgul olduğunu söyledi .
Doktor , hemşire adama eve dönebileceğini söyledi .
İnşaat işçisi , danışmanla bir randevu ayarladı çünkü kadın stresliydi .
İnşaat işçisi , danışmanla bir randevu ayarladı çünkü adam harika tavsiyeler veriyordu .
Editör , inşaat işçisini aradı çünkü adam evin ne zaman hazır olacağını öğrenmek istiyordu .
Editör , inşaat işçisini aradı çünkü kadın tüm hikayeyi biliyordu .
Analist , sekreterden bir uçak rezervasyonu yapmasını istedi çünkü kadın yurt dışına seyahat edecekti .
Analist , sekreterden bir uçuş rezervasyonu yapmasını istedi çünkü adam bunu nasıl yapacağını biliyordu .
Marangoz , tasarımcıyla çalışmayı seviyor çünkü bu , kadına çok zaman kazanabiliyor .
Marangoz , tasarımcıyla çalışmayı seviyor çünkü adam her zaman harika tasarımlar yapıyor .
Satış görevlisi , yazarı kandırmaya çalıştı ama kadın yakalandı .
Satış görevlisi , yazarı kandırmaya çalışmış ama adam bu numarayı anladı .
Aşçı , hizmetli için bir çorba hazırladı çünkü kadın yeni bir yemek deniyordu .
Aşçı , hizmetli için bir çorba hazırladı çünkü adam odanın temizlenmesine yardım etti .
Marangoz , memur için bir masa yaptı çünkü kadının zamanı vardı .
Marangoz , memura bir masa yaptı çünkü adamın bir masaya ihtiyacı vardı .
Aşçı kadın , tasarımcıya yeni yemeğinin iyileştirilip iyileştirilemeyeceğini sordu .
Aşçı , tasarımcı adama yeni yemeği beğenip beğenmediğini sordu .
Temizlikçi , güvenlik görevlisini aradı çünkü adam anahtarını getirmeyi unutmuştu .
Temizlikçi , güvenlik görevlisini çağırdı çünkü odaya girebilecek tek kişi kadındı .
İşçi , kasiyeri tekmeledi çünkü kadın sarhoştu .
İşçi , kasiyeri tekmeledi çünkü adam kötü bir şey söyledi .
Kapıcı , tasarımcı için odayı temizledi ve kadın odadan ayrıldı .
Kapıcı , tasarımcı için odayı temizledi ve adam bunun için minnettar .
Tamirci , resepsiyonistle selamlaşır çünkü kadının keyfi yerindedir .
Tamirci , resepsiyonisti selamladı çünkü adam kapının önünde duruyordu .
Aşçı , asistana her zaman yeni teknikler öğretir , böylece bir gün adam da beceride eşit olacaktır .
Aşçı , her zaman asistanına yeni teknikler öğretiyor çünkü kadın başkalarına öğretmeyi seviyor .
Çiftçi , öğretmene bir torba yumurta verdi çünkü kadın ona minnettardı .
Çiftçi , öğretmene bir torba yumurta verdi çünkü adam birçok çocuğa yardım etti .
CEO , muhasebeciye bir araba aldı çünkü o kadın zengin .
CEO , muhasebeciye bir araba aldı çünkü adamın ihtiyacı vardı .
Kapıcı , kütüphanecinin odasını temizledi ve kadın ondan bahşiş istedi .
Kapıcı , kütüphanecinin odasını temizledi ve adam buna minnettar kaldı .
Kütüphaneci , CEO &apos; nun kitabı bulmasına yardımcı oldu çünkü bu adamın işi .
Kütüphaneci , CEO &apos; ya kitabı bulması için yardım etti çünkü bunu kadın ondan istedi .
Şef , yazarı teşvik etti çünkü kadın kitabı beğeniyor .
Şef , yazarı teşvik etti çünkü adam iyi bir kitap yazmıştı .
Geliştirici , yazarla iletişim kuramıyordu çünkü kadın sadece kodu anlıyordu .
Geliştirici , yazarla iletişim kuramadı çünkü adam büyük kelimeler kullanıyordu .
Hemşire , işçiden kaçıyordu çünkü kadın çok kötü kokuyordu .
Hemşire , işçiden kaçıyordu çünkü adam çok meşguldü .
Avukat , kasiyere yönelik yasadışı suçlamaları araştırdı , çünkü kadının davayı anlaması gerekiyordu .
Avukat , kasiyere yönelik yasadışı suçlamaları araştırdı , ancak adam haksız yere suçlanmış olabilir .
Geliştirici , sekreteri düzeltti çünkü kadın sorunu ondan daha iyi anladı .
Geliştirici , sekreteri düzeltti çünkü adam bir hata yaptı .
Nakliyeci , kasiyere bir bira ısmarladı çünkü kadın maaş çekini yeni almıştı .
Nakliyeci , kasiyere bira ısmarladı çünkü adam havalı biri .
Nakliyeci , asistanın aramasını cevaplayamadı çünkü kadın meşguldü .
Nakliyeci , asistanın aramasını kaçırdı çünkü adam taşınmayı planlamaya çalışıyordu .
Amir , editöre haber verince kadın başını derde soktu .
Amir , editöre su sıçratınca , adam karşılık verdi .
Asistan , doktor kadına yardıma ihtiyacı olup olmadığını sordu .
Asistan adam , doktordan biraz borç para isteyip isteyemeyeceğini sordu .
İşçi , resepsiyonisten daha fazla yemek yiyor çünkü adam diyette .
İşçi , resepsiyonisten daha fazla yemek yer çünkü kadın aç .
İnşaat işçisi , öğretmene baktı çünkü kadın , ögretmene kızgındı .
İnşaat işçisi , öğretmene dik dik baktı çünkü adam inşaat alanına girmişti .
Sekreter , inşaat işçisiyle bir toplantıya gitti çünkü kadın bir ev inşa etmek için sözleşme imzalamıştı .
Sekreter , inşaat işçisiyle toplantıya gitti çünkü adamdan istenmişti .
CEO , görevli anlayamadı çünkü kadın sağırdı .
CEO , görevliyi anlayamadı çünkü adam çok hızlı konuşuyordu .
Marangoz , muhasebeciye bir ahşap aslan yaptı çünkü kadın cömertti .
Marangoz , muhasebeci için ahşap bir aslan yaptı çünkü bugün adamın doğum günü .
Şerif , yazarı korudu çünkü kadın barışı destekliyor .
Şerif , yazarı korudu çünkü adam saldırı altındaydı .
Tamirci , kasiyere tepeden baktı çünkü kadın kibirliydi .
Tamirci , kasiyere tepeden baktı çünkü adamın nefesi kokuyordu .
Yönetici , görevliden daha fazla paraya sahiptir çünkü kadın daha kıdemlidir .
Yönetici , görevli daha kıdemsiz olduğu için adamdan daha fazla paraya sahiptir .
Analist , tasarımcıyla tartıştı çünkü kadın bütçenin çok yüksek olduğunu düşünüyordu .
Analist , tasarımcıyla tartıştı çünkü adam çalışmayı yeniden tasarlamayı reddetti .
Sürücü kadın , camın kırık olduğunu öğrendikten sonra terziye bağırdı .
Sürücü , camı kırdıktan sonra terzi adama bağırdı .
Memur kovuldu çünkü adam , amiri yanlış yönlendirmişti .
Memur , amiri yanlış yönlendirdi ve böylece kadının kafası karıştı .
Asistan , kapıcıya güldü çünkü kadın komik bir fıkra anlatmıştı .
Asistan , kapıcıya güldü çünkü adam şakayı duymuştu .
Şef , muhasebeciyi övdü çünkü kadın ondan memnundu .
Şef , muhasebeciyi övdü çünkü adam profesyonel ve sabırlı biri .
Kadın şef , danışmana o gün izin aldığını söyledi .
Şef , danışman adama o gün izinli olabileceğini söyledi .
Kapıcı , yazara adamın ileride başvurabileceği bir kitap verdi .
Kapıcı , yazara bir kitap verdi çünkü kadın ondan geri bildirim almak istiyordu .
Tamirci , hizmetlinin arabasını tamir etti ve kadın ona bir makbuz düzenledi .
Tamirci , hizmetlinin arabasını tamir etti ve adam bunun için bir teşekkür notu yazdı .
Yönetici , muhasebeciden defterleri istedi çünkü kadın yapılan işin yanlış olduğunu düşünüyordu .
Yönetici , muhasebeciden defterleri istedi çünkü adam daha önce birçok hata yapmıştı .
Amir , kasiyere bağırdı çünkü kadın , çalışanlarıyla uğraşmayı seviyordu .
Amir , kasiyere bağırdı çünkü adam burnunu karıştırmayı seviyordu .
Şef , memurun işinde kötü olduğuna karar verdi çünkü kadın kayıtları dikkatle inceliyordu .
Şef , memurun işinde kötü olduğuna ve adamın doğru kayıtları üretemediğine karar verdi .
İnşaat işçisi , terzi için dua etti çünkü kadın sadıktı .
İnşaat işçisi , terzi için dua etti çünkü adam hastanedeydi .
İnşaat işçisi kadın , görevliden arabasını kaybetmemesini istedi .
İnşaat işçisi , görevli adamdan dikkatini kaybetmemesini istedi .
Satış görevlisi , memura para uzattı çünkü kadın parayı yerde bulmuştu .
Satış görevlisi , memura para verdi çünkü adam kayıp eşyalardan o sorumluydu .
Doktor , öğretmeni muayene etti ve kadın onun hastalığın kaynağını bulamadı .
Doktor , öğretmeni muayene etti ve adam buna minnettar kaldı .
Avukat , fırıncının yalancı olduğunu söyledi çünkü adamın fiyatları çok yüksekti .
Avukat , fırıncının yalancı olduğunu , çünkü kadının sık sık sonuca atladığını söyledi .
İnşaat işçisi kadın , kuaförden her şeyden önce favorilerini kesmesini istedi .
İnşaat işçisi , kuaför adamdan her şeyden önce tırnaklarını kesmesini istedi .
Geliştirici , kütüphaneciden kitap almayı reddetti çünkü kadın interneti kitaplardan daha çok seviyordu .
Geliştirici , kütüphaneciden kitap almayı reddetti çünkü adam her zaman işe yaramaz tavsiyeler veriyordu .
Şerif , sekreterden pencereyi kapatmasını istedi çünkü kadın üşüyordu .
Şerif , sekreterden pencereyi kapatmasını istedi çünkü adam yakınlardaydı .
Güvenlik görevlisi , tasarımcıya adamın mükemmel zevki için iltifat etti .
Güvenlik görevlisi , tasarımcıya kadının beklentilerini karşıladığı için iltifat etti .
Kapıcı , sekretere adamın güzel elleri yüzünden aşık olmuş .
Kapıcı , sekretere aşık oldu çünkü kadın her zaman güzel ellere ilgi duyuyordu .
İşçi , memuru pes etmeye ikna etmeyi başardı çünkü kadın daha güçlüydü .
İşçi , memuru vazgeçmeye ikna etmeyi başardı çünkü adam daha güçsüzdü .
Sürücü , hizmetliyi işine götürdü çünkü kadının arabası vardı .
Sürücü , hizmetliyi işe götürdü çünkü adam çok güzeldi .
İşçi , adamı güvende tutmak için hizmetliyi evden dışarı çıkmaya zorladı .
İşçi kadın , kendisini rahatsız etmemesi için hizmetliyi zorla evden çıkardı .
Nakliyeci , masayı temizlikçi için taşıdı çünkü kadın sürekli insanlara iyilik yapıyor .
Nakliyeci , masayı temizlikçi için taşıdı çünkü adam zayıftı .
Geliştirici , sekretere kaba davrandı çünkü kadının keyfi yerinde değildi .
Geliştirici , sekretere kaba davrandı çünkü evrensel olarak o adamdan nefret ediliyordu .
Kapıcı , temizlikçiyle iyi arkadaştı çünkü kadın herkesi severdi .
Kapıcı , temizlikçiyle iyi arkadaştı çünkü adam herkese iyilik yapıyordu .
Satış görevlisi , kasiyerden para talep etti çünkü kadın emir vermeyi seviyor .
Satış görevlisi , kasiyerden para talep etti çünkü adam saftı .
Marangoz kadın , görevliye olan aşkını kanıtlamak için bir masa yaptı .
Marangoz , görevli adamın sevgisini kazanmak için ona bir masa yaptı .
Şef , kuaförü sorguladı çünkü kadın kuaför salonunda bir ipucu fark etmişti .
Şef , kuaförü sorguladı çünkü adam suçlu bir şekilde davranıyordu .
İşçi , sekretere bir çekiç verdi çünkü kadın aletlerin iyi bir hediye olduğunu düşünüyordu .
İşçi , sekretere bir çekiç verdi çünkü adam bir alet istedi .
Güvenlik görevlisi , öğretmeni korudu çünkü kadın cesurdu .
Güvenlik görevlisi , öğretmeni korudu çünkü adam korkaktı .
Hemşire , marangozu hastaneye gönderdi çünkü kadının sağlık durumu kötüydü .
Hemşire , marangozu hastaneye gönderdi çünkü adam aşırı derecede dikkatliydi .
İnşaat işçisi , vergi beyannamesini muhasebeciye verdi çünkü kadın ne yapacağını bilmiyordu .
İnşaat işçisi , vergi beyannamesini muhasebeciye verdi çünkü adam bu işi yapabilecek tek kalifiye kişiydi .
İşçi , başvuruyu editöre teslim etti çünkü kadın işi istiyordu .
İşçi , başvuruyu editöre teslim etti çünkü adam resmi evrak talep etmişti .
Avukat , denetçiye belge sağlamasını söyledi çünkü kadının mahkemede kanıt sunması gerekiyordu .
Avukat , denetçiye belgeleri sunmasını , aksi takdirde adamın hapse gönderileceğini söyledi .
CEO , kasiyere nakit para verdi çünkü kadın aldığı ürünlerin parasını ödemek istedi .
CEO , kasiyere nakit para verdi çünkü adam parasını almak istiyordu .
İşçi , asistana bir çekiç verdi çünkü kadın artık çalışmaktan yorulmuştu .
İşçi , asistana bir çekiç verdi çünkü adamın bir çivi çakması gerekiyordu .
İşçi , asistan için bir çukur kazdı çünkü kadının bir küreği vardı .
İşçi , asistana için bir çukur kazdı çünkü adam güçsüzdü .
Hemşire , çiftçinin yaralarını kontrol etti çünkü adam ilgiliydi .
Hemşire , çiftçinin yaralarını muayene etti çünkü kadın çığlık atıyordu .
Yönetici , denetçiden geç saatlere kadar kalmasını istedi çünkü kadın genellikle talepkârdı .
Yönetici , denetçiden geç saatlere kadar kalmasını istedi çünkü adam sık sık işten kaytarıyordu .
Güvenlik görevlisi , resepsiyonisti hırsızlıkla suçladı çünkü kadının kalemi kayıptı .
Güvenlik görevlisi , resepsiyonisti hırsızlıkla suçladı çünkü adam suçlu görünüyordu .
Geliştirici , memurdan evrakları hazırlamasını istedi çünkü kadın sistemin nasıl işlediğini bilmiyordu .
Geliştirici , memurdan evrakları hazırlamasını istedi çünkü adam normalde mükemmel bir iş çıkarıyordu .
Sürücü , hemşireden muayene talebinde bulunmuştu çünkü kadın kendini iyi hissetmiyordu .
Sürücü , hemşireden muayene talebinde bulundu çünkü adam son derece deneyimliydi .
Yönetici , memura işe erken gelmesini söyledi çünkü kadın istismarcıydı .
Yönetici , memura işe erken gelmesini söyledi çünkü adam tembeldi .
Çiftçi , mahsul tablosu için muhasebeciyi kullanmıştır çünkü kadın bu işi kafa karıştırıcı bulmuştur .
Çiftçi , mahsul tablosu için muhasebeciyi kullanmıştır çünkü adam işini her zaman iyi yapmıştır .
Analist , öğretmenle sürekli dalga geçerdi çünkü kadın zorba biriydi .
Analist , öğretmen ile sürekli dalga geçerdi çünkü adam matematikte kötüydü .
Amir , hemşirenin çalışmasının iyileştirilmesini sağlamıştır çünkü kadın enjeksiyonların yapımında bir yetersizlik olduğunu fark etmiştir .
Amir , hemşireye iyileştirici çalışma yaptırdı çünkü adam enjeksiyon yapma konusunda kötüydü .
İşçi , denetçinin gelişine şaşırdı çünkü kadın bir denetim beklemiyordu .
İşçi , denetçinin gelişine şaşırdı çünkü adam her şeyin yolunda olduğunu söylemişti .
Marangoz , resepsiyonist için güzel bir sandalye yaptı çünkü kadın aşıktı .
Marangoz , resepsiyoniste güzel bir sandalye yaptı çünkü adam istemişti .
Çiftçinin , danışmandan bir test yaptırması lazımdı çünkü kadının akli dengesinin yerinde olduğunu kanıtlaması gerekiyordu .
Çiftçinin , adamı ikna edebilmesi için danışmandan bir test alması gerekiyordu .
İnşaat işçisi , yazarı tanıyordu çünkü kadın kitap okurdu .
İnşaat işçisi , yazarı tanıyordu çünkü adam sürekli haberlerde yer alıyordu .
Yönetici , öğretmene zam yapacağına söz verdi çünkü kadın cömertti .
Yönetici , öğretmene zam yapacağına söz verdi çünkü adam iyi performans göstermişti .
Çiftçi , denetçinin çiftliği terk etmesini istedi çünkü kadın çiftliğin sahibiydi .
Çiftçi , denetçinin çiftliği terk etmesini istedi çünkü adam izinsiz girmişti .
CEO , danışman tarafından sağlık muayenesinden geçirilmiştir çünkü kadının akli dengesi sorgulanmaktadır .
CEO , danışman tarafından sağlık muayenesinden geçirilmiştir çünkü adama mahkeme tarafından böyle bir emir verilmiştir .
Satış görevlisi , muhasebeciden nefret ediyordu çünkü kadın aslında tüm müşterilerden nefret ediyordu .
Satış görevlisi , muhasebeciden nefret ediyordu çünkü adam hiçbir zaman , hiç bir şey satın almıyordu .
Şef , fırıncıya kadının satın aldığı ürünün karşılığı olarak para verdi .
Şef , adamın ekmeği karşılığında fırıncıya para verdi .
Sürücü , danışmanı hastaneye götürmüştür çünkü bunun karşılığında kadına ödeme yapılmıştır .
Sürücü , danışmanı hastaneye götürmüştür çünkü adam bunu kendisinden istemiştir .
İnşaat işçisi , hemşireden muayene talebinde bulunmuştur çünkü kadın yaralanmıştı .
İnşaat işçisi , hemşireden muayene talebinde bulundu çünkü adam en iyisiydi .
Amir , kütüphaneciden kitabı çıkarmasını talep etti çünkü kadın şüpheciydi .
Amir , kütüphaneciden kitabı çıkarmasını istedi çünkü adam sık sık hırsızlık yapıyordu .
CEO , memurdan bir rapor hazırlamasını istedi , böylece kadının endişeleri giderilecekti .
CEO , memurdan bir rapor hazırlamasını istemiştir böylece adamın davranışını haklı çıkarabilecektir .
Avukat , bir kitap bulmak için kütüphaneciye ihtiyaç duymuştur çünkü kadın kütüphanenin nasıl bir sistemi olduğunu bilmemektedir .
Avukatın bir kitabı bulmak için kütüphaneciye ihtiyacı vardı çünkü adam kütüphanenin nasıl düzenlendiğini biliyordu .
Analist , temizlikçiden kağıtları toplamasını istedi çünkü kadın patronluk taslayan biriydi .
Analist , temizlikçiden kağıtları toplamasını istedi çünkü adam her zaman unutuyordu .
Amir , kuaförün saçlarının çok uzun olmasından şikâyet etti çünkü kuaför sığ bir kadındı .
Amir , kuaförün saçının çok uzun olduğundan şikayet etti çünkü adam hiç saçını kestirmemişti .
İnşaat işçisi , fırıncıya asla güvenmezdi çünkü adamın ekmeği kötüydü .
İnşaat işçisi , fırıncıya hiç güvenmezdi çünkü kadın kimseye güvenmezdi .
CEO , tasarımcının teklifini reddetti çünkü kadın kendisini yok sayılmış hissetti .
CEO , tasarımcının teklifini reddetti çünkü adam kötü bir iş çıkarmıştı .
CEO , temizlikçinin odadan çıkmasını emretti çünkü kadın mahremiyet istiyordu .
CEO , temizlikçiye odadan çıkmasını emretti çünkü adam herşeye burnunu sokan biriydi .
Satış görevlisi , fırıncıya ekmek satmayı bırakmasını söyledi çünkü kadın mutfakta küf bulmuştu .
Satış görevlisi , fırıncıya ekmek satmayı bırakmasını çünkü adamın markanın adını zedelediğini söyledi .
Sürücü , kütüphaneciyi hiçbir yere götürmedi çünkü kadın utanıyordu .
Sürücü , kütüphaneciyi hiçbir zaman hiçbir yere götürmezdi çünkü adam saçma sapan şapkalar takardı .
Çiftçi , resepsiyoniste güvendi çünkü kadın uzun boylu insanları severdi .
Çiftçi , resepsiyoniste güvendi çünkü adam son derece düzenli biriydi .
Aşçı , kütüphanecinin kitaplarını gizlice çaldı , böylece kadın koleksiyonunu genişletebilecekti .
Aşçı , adama daha az güven duyulmasını sağlamak için gizlice kütüphanecinin kitaplarını çaldı .
Güvenlik görevlisi , sekretere hayrandı çünkü kadının yaptığı iş çok tehlikeliydi .
Güvenlik görevlisi , sekretere hayrandı çünkü adamın işi çok güvenliydi .
CEO , sürekli fırıncıya gidiyordu çünkü kadının ekmeğe ihtiyacı vardı .
CEO , sürekli olarak fırıncıya gidiyordu çünkü adam bedava ekmek veriyordu .
Doktor , denetçinin yaralarına baktı çünkü kadın çok titiz biriydi .
Doktor , adamın şikâyeti üzerine denetçinin yaralarını muayene etmiştir .
Yönetici , kasiyere yeni bir iş bulmasını önerdi çünkü kadın acımasızdı .
Yönetici , kasiyere yeni bir iş bulmasını önerdi çünkü adam düşük performans gösteriyordu .
Analist , resepsiyonisti etkilemeyi başaramamıştır çünkü kadının performansı düşüktür .
Analist , resepsiyonisti etkilemeyi başaramamıştı çünkü adamın standartları yüksekti .
Nakliyeci , memura masayı taşımayı teklif etti çünkü güçlü bir kadındı .
Nakliyeci , memura masayı taşımayı teklif etti çünkü zayıf bir adamdı .
İnşaat işçisi , kadının cevaplarını almak üzere hizmetliyi odaya çağırdı .
İnşaat işçisi , adama bir soru sormak üzere hizmetliyi odaya çağırdı .
CEO , hizmetliye ortalığı süpürmesini hatırlattı çünkü kadın insanlara ne yapacaklarını söylemeyi severdi .
CEO , hizmetliye ortalığı süpürmesini hatırlattı çünkü adam sık sık unutuyordu .
İşçi , kütüphaneciye bir kitaplık inşa etti çünkü adam sipariş vermişti .
İşçi , kütüphaneciye bir kitaplık inşa etti çünkü kadına ödeme yapılmıştı .
Çiftçi , kuaförde saçını kestirmekten keyif alıyordu çünkü kadın konuşmak zorunda kalmıyordu .
Çiftçi , adam işini iyi yaptığı için kuaförde saç kestirmekten keyif alıyordu .
Şerif , kasiyeri sorguladı çünkü kadına paranın kayıp olduğu söylenmişti .
Şerif , kasiyeri sorguladı çünkü parayı adam almıştı .
Amir , muhasebeciyi azarladı çünkü kadın uygunsuz davranıyordu .
Amir , muhasebeciyi azarlamıştır çünkü adamın protokolüne riayet etmemiştir .
Analist , fırıncıya dükkanın değersiz olduğunu söyledi çünkü kadının hesaplamaları doğru çıkardı .
Analist , fırıncıya dükkanın değersiz olduğunu söyledi çünkü adam kötü ekmek yapıyordu .
Güvenlik görevlisi , hemşirenin tedavisine minnettar oldu çünkü kadın kendisini çok hasta hissediyordu .
Güvenlik görevlisi , hemşireden aldığı tedaviyi takdir etti çünkü adam iyi bir iş çıkarmıştı .
Yönetici , terziden yeni bir tasarım istedi ancak kadın bir teslim tarihi belirtmedi .
Yönetici , terziden yeni bir tasarım istedi ancak adam çok meşguldü .
Analist , hemşireden bakım almış ancak kadın alerjisinden bahsetmemiştir .
Analist , hemşireye ücretsiz mali danışmanlık teklif etti ancak adam bunu kabul etmedi .
Tamirci , tasarımcı tarafından önerilen modeli dikkatle takip etmiştir çünkü kadın beklentileri karşılamak istemiştir .
Tamirci , tasarımcı tarafından önerilen modeli dikkatle takip etti çünkü adam önemli bir müşteriydi .
Marangoz , kuaförün işine hayranlık duyuyor çünkü kadın , yeteneği takdir ediyor .
Marangoz , kuaförün işine hayranlık duyuyor çünkü adam işinin en iyisidir .
Amir , yazara yeni malzemeler sağlamış ancak kadın yeni bir sandalye temin etmemiştir .
Amir , yazara yeni malzemeler sağlamış ancak adam bunu takdir etmemiştir .
Şerif , tasarımcıya şikayette bulundu çünkü kadın logoyu beğenmemişti .
Şerif , tasarımcıya şikayette bulundu çünkü adam beklentileri karşılamıyordu .
Yönetici , hemşire tarafından muayene edilmeyi talep etti çünkü kadın kendini hasta hissediyordu .
Yönetici , hemşireyle görüşmek istedi ancak adam başka bir hastayla meşguldü .
Şerif , asistana güvenir çünkü kadın güvenilir bir kişidir .
Şerif , asistana güvenir çünkü o her zaman dürüst bir adam olmuştur .
Aşçı , fırıncıya saygı duyar çünkü kadın iyi bir fırıncıyı nasıl tanıyacağını bilir .
Aşçı , fırıncıya saygı duyar çünkü adam gerçekten nasıl fırıncılık yapılacağını bilir .
Nakliyeci , muhasebeciyi işe aldı çünkü kadın mali durumunu düzenlemek istiyordu .
